date,actual_price,forecast_price
2025-10-01,23500,22388.984
2025-10-02,23500,21131.035
2025-10-03,23500,20024.197
2025-10-06,23500,19006.527
2025-10-07,23500,18057.37
2025-10-08,23500,17183.523
2025-10-09,23500,16378.498
2025-10-10,23500,15635.7295
2025-10-13,23500,14950.843
2025-10-14,23500,14319.907
2025-10-15,23500,13739.069
2025-10-16,23500,13204.663
2025-10-17,23500,12713.24
2025-10-20,23500,12261.561
2025-10-21,23500,11846.588
2025-10-22,23500,11465.488
2025-10-23,23500,11115.615
2025-10-24,26250,10794.508
2025-10-27,26650,10499.885
2025-10-28,26650,10229.623
2025-10-29,26650,9981.763
2025-10-30,26650,9754.49
