date,actual_price,forecast_price
2025-10-01,13700,13032.642
2025-10-02,13700,12795.422
2025-10-03,13700,12591.132
2025-10-06,13700,12424.53
2025-10-07,13700,12289.648
2025-10-08,13700,12180.642
2025-10-09,13700,12092.242
2025-10-10,13700,12019.98
2025-10-13,13700,11960.219
2025-10-14,13700,11910.075
2025-10-15,13700,11867.299
2025-10-16,13700,11830.137
2025-10-17,13700,11796.349
2025-10-20,13700,11765.636
2025-10-21,13700,11737.352
2025-10-22,13700,11711.993
2025-10-23,13700,11688.939
2025-10-24,13750,11667.9795
2025-10-27,13700,11648.907
2025-10-28,13700,11631.538
2025-10-29,13700,11615.704
2025-10-30,13700,11601.25
