date,actual_price,forecast_price
2025-10-01,31650,30462.549
2025-10-02,31650,29508.895
2025-10-03,31650,28932.379
2025-10-06,31650,28508.379
2025-10-07,31650,28187.406
2025-10-08,31650,27929.668
2025-10-09,31650,27714.004
2025-10-10,31650,27528.2
2025-10-13,31650,27365.164
2025-10-14,31650,27220.592
2025-10-15,31650,27091.701
2025-10-16,31650,26976.535
2025-10-17,31650,26873.594
2025-10-20,31650,26781.645
2025-10-21,31650,26699.6
2025-10-22,31650,26626.502
2025-10-23,31650,26561.46
2025-10-24,34600,26503.672
2025-10-27,31900,26452.383
2025-10-28,31900,26406.912
2025-10-29,31900,26366.64
2025-10-30,31900,26330.998
