date,actual_price,forecast_price
2025-10-01,21150,22203.984
2025-10-02,21150,22964.498
2025-10-03,21150,23515.79
2025-10-06,21150,23991.887
2025-10-07,21150,24426.277
2025-10-08,21150,24818.34
2025-10-09,21150,25184.629
2025-10-10,21150,25536.252
2025-10-13,21150,25877.752
2025-10-14,21150,26211.057
2025-10-15,21150,26536.602
2025-10-16,21150,26853.96
2025-10-17,21150,27162.3
2025-10-20,21150,27460.658
2025-10-21,21150,27748.098
2025-10-22,21150,28023.807
2025-10-23,21150,28287.127
2025-10-24,17800,28537.553
2025-10-27,14850,28774.74
2025-10-28,14850,28998.463
2025-10-29,14850,29208.62
2025-10-30,14850,29405.19
