date,actual_price,forecast_price
2025-10-01,36500,36710.99
2025-10-02,36500,36804.67
2025-10-03,36500,36918.434
2025-10-06,36500,37060.53
2025-10-07,36500,37227.38
2025-10-08,36500,37406.96
2025-10-09,36500,37589.805
2025-10-10,36500,37767.977
2025-10-13,36500,37936.31
2025-10-14,36500,38091.98
2025-10-15,36500,38233.92
2025-10-16,36500,38362.195
2025-10-17,36500,38477.523
2025-10-20,36500,38581.0
2025-10-21,36500,38673.8
2025-10-22,36500,38757.117
2025-10-23,36500,38832.066
2025-10-24,35900,38899.656
2025-10-27,34750,38960.785
2025-10-28,34750,39016.254
2025-10-29,34750,39066.754
2025-10-30,34750,39112.883
