date,actual_price,forecast_price
2025-10-01,120550,119166.63
2025-10-02,120550,118639.51
2025-10-03,120550,118125.93
2025-10-06,120550,117644.32
2025-10-07,120550,117201.52
2025-10-08,120550,116793.77
2025-10-09,120550,116427.766
2025-10-10,120550,116101.59
2025-10-13,120550,115798.54
2025-10-14,120550,115520.68
2025-10-15,120550,115265.11
2025-10-16,120550,115029.37
2025-10-17,120550,114811.33
2025-10-20,120550,114609.164
2025-10-21,120550,114421.39
2025-10-22,120550,114246.74
2025-10-23,120550,114084.04
2025-10-24,120700,113932.25
2025-10-27,120450,113790.49
2025-10-28,120450,113657.945
2025-10-29,120450,113533.89
2025-10-30,120450,113417.67
