date,actual_price,forecast_price
2025-10-01,14150,14131.901
2025-10-02,14150,14135.714
2025-10-03,14150,14145.512
2025-10-06,14150,14163.034
2025-10-07,14150,14185.465
2025-10-08,14150,14210.506
2025-10-09,14150,14236.363
2025-10-10,14150,14261.815
2025-10-13,14150,14286.134
2025-10-14,14150,14308.9375
2025-10-15,14150,14330.07
2025-10-16,14150,14349.51
2025-10-17,14150,14367.312
2025-10-20,14150,14383.569
2025-10-21,14150,14398.396
2025-10-22,14150,14411.908
2025-10-23,14150,14424.215
2025-10-24,14250,14435.425
2025-10-27,14250,14445.635
2025-10-28,14250,14454.935
2025-10-29,14250,14463.403
2025-10-30,14250,14471.113
