date,actual_price,forecast_price
2025-10-01,13000,13065.669
2025-10-02,13000,13085.266
2025-10-03,13000,13112.064
2025-10-06,13000,13137.073
2025-10-07,13000,13158.706
2025-10-08,13000,13176.967
2025-10-09,13000,13192.382
2025-10-10,13000,13205.545
2025-10-13,13000,13216.955
2025-10-14,13000,13226.992
2025-10-15,13000,13235.93
2025-10-16,13000,13243.948
2025-10-17,13000,13251.306
2025-10-20,13000,13258.101
2025-10-21,13000,13264.429
2025-10-22,13000,13270.157
2025-10-23,13000,13275.384
2025-10-24,13000,13280.11
2025-10-27,13000,13284.366
2025-10-28,13000,13288.189
2025-10-29,13000,13291.619
2025-10-30,13000,13294.696
