date,actual_price,forecast_price
2025-10-01,24500,25060.906
2025-10-02,24500,25621.361
2025-10-03,24500,26104.107
2025-10-06,24500,26462.479
2025-10-07,24500,26780.156
2025-10-08,24500,27066.25
2025-10-09,24500,27322.469
2025-10-10,24500,27554.307
2025-10-13,24500,27764.979
2025-10-14,24500,27955.988
2025-10-15,24500,28128.404
2025-10-16,24500,28283.164
2025-10-17,24500,28421.2
2025-10-20,24500,28543.512
2025-10-21,24500,28651.207
2025-10-22,24500,28745.465
2025-10-23,24500,28827.492
2025-10-24,25500,28898.508
2025-10-27,25750,28959.691
2025-10-28,25750,29012.164
2025-10-29,25750,29056.975
2025-10-30,25750,29095.09
