mode,komoditas,window,units,epochs,batch_size,test_MAE,test_RMSE,test_MAPE,forecast_MAPE_Okt2025
multivariate,Beras,7,32,150,32,409.7084333787271,431.44754424413696,3.1667912670919742,12.249805868061276
multivariate,Beras,7,64,150,32,429.8883000645069,446.5183761753384,3.325811297473072,14.473987968541495
multivariate,Beras,14,32,150,32,346.9402029028436,369.25921024501935,2.677390127876345,12.469413995332712
multivariate,Beras,14,64,150,32,172.039803021327,196.5165736373681,1.3248699195498803,8.44071598519736
multivariate,Beras,30,32,150,32,393.8128605769231,410.1024641860501,3.037514298888212,13.940840158322912
multivariate,Beras,30,64,150,32,279.2136518429487,302.36895548236834,2.1492655273433257,11.397331624993567
multivariate,Daging Ayam,7,32,150,32,240.62071745986333,447.7447263447839,0.7673359626706963,1.406449655377186
multivariate,Daging Ayam,7,64,150,32,259.6526931622716,440.7376069475714,0.805586338740461,5.3824932396621605
multivariate,Daging Ayam,14,32,150,32,321.5682482968019,544.2172138530427,1.0369186868737204,4.479315406983191
multivariate,Daging Ayam,14,64,150,32,315.250722008294,481.7507764274568,1.0059916173296646,1.3827665276309202
multivariate,Daging Ayam,30,32,150,32,573.6825520833336,788.6389228870938,1.854832703499016,4.861307835087326
multivariate,Daging Ayam,30,64,150,32,721.6266125801285,836.4187632855113,2.2914454375445046,5.47984196429629
multivariate,Daging Sapi,7,32,150,32,1267.2206493692704,1354.7239906081727,1.0474949686133666,4.149180998428062
multivariate,Daging Sapi,7,64,150,32,841.6003798738575,894.1209619538215,0.6949757996788248,4.134258932645849
multivariate,Daging Sapi,14,32,150,32,1019.039025473938,1082.5920773574132,0.8408027694622172,3.383124135065633
multivariate,Daging Sapi,14,64,150,32,785.1180020734638,844.597742880116,0.648318091438025,3.316188205561009
multivariate,Daging Sapi,30,32,150,32,1212.774879807697,1268.6056333239326,1.000673591772426,4.5192172115068585
multivariate,Daging Sapi,30,64,150,32,571.5502003205173,650.4413849790097,0.4715946368953522,3.019321960663801
multivariate,Telur Ayam,7,32,150,32,280.4952784547015,404.8553807181664,1.1863190777841208,8.001149075304298
multivariate,Telur Ayam,7,64,150,32,269.3605128297015,402.6288140583336,1.1421448333636586,5.740996830796414
multivariate,Telur Ayam,14,32,150,32,279.4965195497627,415.6642633533998,1.1843124885063132,1.7789175937634
multivariate,Telur Ayam,14,64,150,32,547.5108301244072,626.2832900326073,2.3083216478127357,14.02731842412316
multivariate,Telur Ayam,30,32,150,32,561.7414863782047,650.4965203148635,2.3824936708498528,12.346106630671336
multivariate,Telur Ayam,30,64,150,32,708.4348758012818,765.9318585871258,2.980673728574029,23.128740676810843
multivariate,Bawang Merah,7,32,150,32,663.3872563073392,1241.7706281644084,2.3931611297367823,26.83479747178097
multivariate,Bawang Merah,7,64,150,32,1185.1496201261466,1551.94421788907,4.352353096845193,39.88989422528452
multivariate,Bawang Merah,14,32,150,32,668.116261848341,1266.8992612297302,2.4469745895702038,24.012398959265397
multivariate,Bawang Merah,14,64,150,32,451.3460918986965,1193.5433773529355,1.6562592336846174,15.201996757257074
multivariate,Bawang Merah,30,32,150,32,957.048577724359,1467.4950348805387,3.733621709954609,9.687231798972611
multivariate,Bawang Merah,30,64,150,32,660.4876502403846,1295.778821479687,2.3458274722947,17.731222619782493
multivariate,Cabai Merah,7,32,150,32,1676.5070240825694,2087.695102009139,7.482336866530166,14.091521267065762
multivariate,Cabai Merah,7,64,150,32,1227.048532468464,1861.612582863385,5.215144084632554,0.6133272592590636
multivariate,Cabai Merah,14,32,150,32,971.6454707864342,1720.9385630250156,4.263597705025933,14.619272655647311
multivariate,Cabai Merah,14,64,150,32,1281.9023576347754,1856.4456954726468,5.615257298927196,6.509208048511048
multivariate,Cabai Merah,30,32,150,32,1315.9788361378212,1849.9213277257256,5.512164246768935,13.838586510238605
multivariate,Cabai Merah,30,64,150,32,1705.9762219551287,2136.0923002700497,7.022622616185307,3.1908703790854096
multivariate,Cabai Rawit,7,32,150,32,1777.257991685779,2691.509795902844,7.358238175955773,103.106614473424
multivariate,Cabai Rawit,7,64,150,32,1464.6348193807328,2495.5221335359925,6.075997229479137,75.07132866645043
multivariate,Cabai Rawit,14,32,150,32,1926.9679909656388,2853.1533180860256,8.322640119245555,101.19421277505276
multivariate,Cabai Rawit,14,64,150,32,1484.137524066942,2524.568977843495,5.931594765485522,53.35230618731814
multivariate,Cabai Rawit,30,32,150,32,1231.779982972756,2533.389884390612,4.903611251718386,25.384322171132258
multivariate,Cabai Rawit,30,64,150,32,1439.204907852563,2600.902425913274,5.814700537627243,36.7880338678244
multivariate,Minyak Goreng,7,32,150,32,50.312016198394495,79.99670336273094,0.3719257869892123,0.2407247049823323
multivariate,Minyak Goreng,7,64,150,32,116.89330830705276,133.68489126133363,0.8756404945372184,5.960243321127408
multivariate,Minyak Goreng,14,32,150,32,81.58895512440758,120.1711033201518,0.5940121964830222,1.6838652070572706
multivariate,Minyak Goreng,14,64,150,32,43.54595397659953,78.91366981463474,0.323357312740542,1.0896965827133227
multivariate,Minyak Goreng,30,32,150,32,58.6308092948718,94.07678781463248,0.427980483465948,0.2594579736667584
multivariate,Minyak Goreng,30,64,150,32,56.57603165064103,88.55885334553405,0.4203489812430997,0.2639959161929787
multivariate,Gula Pasir,7,32,150,32,83.63070706708696,96.08831032248337,0.5677000438214743,7.592654250650499
multivariate,Gula Pasir,7,64,150,32,37.97075240108991,56.34941995816024,0.2584100357045206,1.838006460156587
multivariate,Gula Pasir,14,32,150,32,172.1027797319314,179.0827169917961,1.1712718037286112,3.6916160127231055
multivariate,Gula Pasir,14,64,150,32,291.2783573385665,294.6891918153079,1.982495992455898,9.131182512772456
multivariate,Gula Pasir,30,32,150,32,122.90791266025644,129.74951633777667,0.8390137478761548,1.0496169809605371
multivariate,Gula Pasir,30,64,150,32,193.427233573718,196.8883154196886,1.3164901638578377,4.678950321644107
