date,actual_price,forecast_price
2025-10-01,23500,23416.246
2025-10-02,23500,23317.68
2025-10-03,23500,23195.39
2025-10-06,23500,23067.092
2025-10-07,23500,22943.068
2025-10-08,23500,22823.531
2025-10-09,23500,22708.684
2025-10-10,23500,22598.242
2025-10-13,23500,22491.932
2025-10-14,23500,22389.54
2025-10-15,23500,22290.893
2025-10-16,23500,22195.836
2025-10-17,23500,22104.217
2025-10-20,23500,22015.9
2025-10-21,23500,21930.75
2025-10-22,23500,21848.637
2025-10-23,23500,21769.443
2025-10-24,26250,21693.05
2025-10-27,26650,21619.354
2025-10-28,26650,21548.24
2025-10-29,26650,21479.617
2025-10-30,26650,21413.387
