date,actual_price,forecast_price
2025-10-01,13700,13533.995
2025-10-02,13700,13477.941
2025-10-03,13700,13369.135
2025-10-06,13700,13237.003
2025-10-07,13700,13100.586
2025-10-08,13700,12971.039
2025-10-09,13700,12853.694
2025-10-10,13700,12750.054
2025-10-13,13700,12659.391
2025-10-14,13700,12579.901
2025-10-15,13700,12509.446
2025-10-16,13700,12445.987
2025-10-17,13700,12387.796
2025-10-20,13700,12333.528
2025-10-21,13700,12282.215
2025-10-22,13700,12233.2
2025-10-23,13700,12186.075
2025-10-24,13750,12140.603
2025-10-27,13700,12096.664
2025-10-28,13700,12054.197
2025-10-29,13700,12013.179
2025-10-30,13700,11973.587
