date,actual_price,forecast_price
2025-10-01,31650,31790.213
2025-10-02,31650,31478.658
2025-10-03,31650,31031.744
2025-10-06,31650,30557.326
2025-10-07,31650,30106.332
2025-10-08,31650,29662.031
2025-10-09,31650,29232.35
2025-10-10,31650,28817.832
2025-10-13,31650,28417.195
2025-10-14,31650,28029.793
2025-10-15,31650,27655.088
2025-10-16,31650,27292.611
2025-10-17,31650,26941.896
2025-10-20,31650,26602.52
2025-10-21,31650,26274.08
2025-10-22,31650,25956.188
2025-10-23,31650,25648.475
2025-10-24,34600,25350.59
2025-10-27,31900,25062.191
2025-10-28,31900,24782.953
2025-10-29,31900,24512.562
2025-10-30,31900,24250.72
