date,actual_price,forecast_price
2025-10-01,21150,21467.17
2025-10-02,21150,21735.953
2025-10-03,21150,22002.541
2025-10-06,21150,22259.229
2025-10-07,21150,22502.074
2025-10-08,21150,22728.71
2025-10-09,21150,22938.62
2025-10-10,21150,23132.627
2025-10-13,21150,23312.281
2025-10-14,21150,23479.328
2025-10-15,21150,23635.43
2025-10-16,21150,23782.021
2025-10-17,21150,23922.107
2025-10-20,21150,24055.688
2025-10-21,21150,24182.932
2025-10-22,21150,24304.168
2025-10-23,21150,24419.701
2025-10-24,17800,24529.834
2025-10-27,14850,24634.861
2025-10-28,14850,24735.047
2025-10-29,14850,24830.63
2025-10-30,14850,24921.826
