date,actual_price,forecast_price
2025-10-01,36500,36453.742
2025-10-02,36500,36434.69
2025-10-03,36500,36456.12
2025-10-06,36500,36488.285
2025-10-07,36500,36519.31
2025-10-08,36500,36545.184
2025-10-09,36500,36565.42
2025-10-10,36500,36580.938
2025-10-13,36500,36592.992
2025-10-14,36500,36602.688
2025-10-15,36500,36610.863
2025-10-16,36500,36618.098
2025-10-17,36500,36624.78
2025-10-20,36500,36631.15
2025-10-21,36500,36637.35
2025-10-22,36500,36643.473
2025-10-23,36500,36649.562
2025-10-24,35900,36655.645
2025-10-27,34750,36661.723
2025-10-28,34750,36667.81
2025-10-29,34750,36673.887
2025-10-30,34750,36679.95
