date,actual_price,forecast_price
2025-10-01,120550,120503.49
2025-10-02,120550,120478.52
2025-10-03,120550,120451.266
2025-10-06,120550,120423.53
2025-10-07,120550,120396.2
2025-10-08,120550,120369.664
2025-10-09,120550,120344.016
2025-10-10,120550,120319.18
2025-10-13,120550,120295.09
2025-10-14,120550,120271.625
2025-10-15,120550,120248.71
2025-10-16,120550,120226.28
2025-10-17,120550,120204.29
2025-10-20,120550,120182.72
2025-10-21,120550,120161.555
2025-10-22,120550,120140.79
2025-10-23,120550,120120.42
2025-10-24,120700,120100.44
2025-10-27,120450,120080.84
2025-10-28,120450,120061.625
2025-10-29,120450,120042.78
2025-10-30,120450,120024.32
