date,actual_price,forecast_price
2025-10-01,14150,13982.061
2025-10-02,14150,13816.985
2025-10-03,14150,13653.016
2025-10-06,14150,13501.823
2025-10-07,14150,13361.517
2025-10-08,14150,13229.587
2025-10-09,14150,13104.515
2025-10-10,14150,12985.569
2025-10-13,14150,12872.428
2025-10-14,14150,12764.909
2025-10-15,14150,12662.855
2025-10-16,14150,12566.089
2025-10-17,14150,12474.379
2025-10-20,14150,12387.509
2025-10-21,14150,12305.25
2025-10-22,14150,12227.284
2025-10-23,14150,12153.329
2025-10-24,14250,12083.117
2025-10-27,14250,12016.408
2025-10-28,14250,11952.983
2025-10-29,14250,11892.645
2025-10-30,14250,11835.203
