date,actual_price,forecast_price
2025-10-01,13000,12936.746
2025-10-02,13000,12898.4375
2025-10-03,13000,12852.516
2025-10-06,13000,12804.739
2025-10-07,13000,12757.7705
2025-10-08,13000,12712.388
2025-10-09,13000,12668.523
2025-10-10,13000,12625.81
2025-10-13,13000,12583.879
2025-10-14,13000,12542.471
2025-10-15,13000,12501.447
2025-10-16,13000,12460.766
2025-10-17,13000,12420.451
2025-10-20,13000,12380.5625
2025-10-21,13000,12341.166
2025-10-22,13000,12302.333
2025-10-23,13000,12264.118
2025-10-24,13000,12226.569
2025-10-27,13000,12189.718
2025-10-28,13000,12153.588
2025-10-29,13000,12118.192
2025-10-30,13000,12083.54
