date,actual_price,forecast_price
2025-10-01,24500,24294.918
2025-10-02,24500,24096.291
2025-10-03,24500,23909.139
2025-10-06,24500,23731.643
2025-10-07,24500,23558.71
2025-10-08,24500,23389.19
2025-10-09,24500,23223.414
2025-10-10,24500,23062.09
2025-10-13,24500,22905.875
2025-10-14,24500,22755.271
2025-10-15,24500,22610.62
2025-10-16,24500,22472.082
2025-10-17,24500,22339.707
2025-10-20,24500,22213.428
2025-10-21,24500,22093.107
2025-10-22,24500,21978.555
2025-10-23,24500,21869.541
2025-10-24,25500,21765.826
2025-10-27,25750,21667.148
2025-10-28,25750,21573.256
2025-10-29,25750,21483.895
2025-10-30,25750,21398.82
