mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,hari_8,hari_9,hari_10,hari_11,hari_12,hari_13,hari_14,target_hari_15
univariate,train,Beras,14,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,14,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,14,2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625
univariate,train,Beras,14,3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125
univariate,train,Beras,14,4,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125
univariate,train,Beras,14,5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125
univariate,train,Beras,14,6,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,14,7,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,14,8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,14,9,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,14,10,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
