mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,target_hari_8
univariate,train,Beras,7,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,4,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,6,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,7,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
univariate,train,Beras,7,9,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.265625
univariate,train,Beras,7,10,0.25,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125
univariate,train,Beras,7,11,0.25,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125
univariate,train,Beras,7,12,0.25,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125
univariate,train,Beras,7,13,0.25,0.25,0.25,0.265625,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,14,0.25,0.25,0.265625,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,15,0.25,0.265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,16,0.265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,17,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,18,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,19,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,20,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,21,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,22,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,23,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,24,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,25,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,26,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,27,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,28,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,29,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,30,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
univariate,train,Beras,7,31,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.375
univariate,train,Beras,7,32,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.375
univariate,train,Beras,7,33,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.375,0.375
univariate,train,Beras,7,34,0.3125,0.3125,0.3125,0.3125,0.375,0.375,0.375,0.375
univariate,train,Beras,7,35,0.3125,0.3125,0.3125,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,36,0.3125,0.3125,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,37,0.3125,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,38,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,39,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,40,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,41,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,42,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,43,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,44,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
univariate,train,Beras,7,45,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
