mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,target_hari_8
univariate,train,Cabai Rawit,7,0,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,1,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,2,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,3,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,4,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,5,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,6,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,7,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,8,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,9,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,7,10,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036
univariate,train,Cabai Rawit,7,11,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,12,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,13,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,14,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,15,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,16,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,17,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,18,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,19,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,7,20,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
